Date,Open,High,Low,Close,Volume
2022-03-08,362.0099,368.8964,354.0066,356.6123,32260710.0
2022-03-09,356.6123,363.685,344.3282,358.1013,33209737.0
2022-03-10,367.9658,371.1299,354.7511,358.2874,24062703.0
2022-03-11,343.3975,349.3535,335.022,342.2808,48435608.0
2022-03-14,328.5077,334.6498,307.1035,308.7786,66910165.0
2022-03-15,284.0242,310.0815,276.3931,277.3238,118398276.0
2022-03-16,293.3304,345.0727,288.8634,341.5363,107736861.0
2022-03-17,373.1773,373.1773,347.6784,362.9405,69692613.0
2022-03-18,353.6343,365.5462,345.2588,354.5649,37714558.0
2022-03-21,364.9879,365.174,344.7004,346.5616,30703044.0
2022-03-22,344.3282,362.0099,336.8832,361.0793,31006056.0
2022-03-23,371.316,375.5969,358.4735,362.0099,42256861.0
2022-03-24,347.12,355.1233,339.6751,340.6057,46931459.0
2022-03-25,333.7191,342.8392,326.6464,331.6718,38297070.0
2022-03-28,333.1608,346.7478,329.4383,340.9779,26933320.0
2022-03-29,345.2588,354.0066,344.3282,351.0286,20901992.0
2022-03-30,356.4262,361.6376,353.8205,354.1927,26951872.0
2022-03-31,355.8678,355.8678,346.7478,348.2368,14589554.0
2022-04-01,341.5363,352.5176,337.0694,352.5176,14496674.0
2022-04-04,361.8238,363.8711,357.1707,362.9405,15665556.0
2022-04-06,356.4262,358.2874,353.6343,354.5649,17127923.0
2022-04-07,349.5396,356.9846,347.8645,348.4229,15874056.0
2022-04-08,344.3282,346.3755,340.6057,343.9559,19600870.0
2022-04-11,340.6057,340.7918,328.5077,329.0661,22788891.0
2022-04-12,338.5583,346.7478,333.7191,340.9779,26409818.0
2022-04-13,340.6057,352.7037,336.6971,347.6784,21642119.0
2022-04-14,352.5176,352.7037,346.7478,348.4229,15160373.0
2022-04-19,340.4196,342.0947,335.9526,338.7445,17741106.0
2022-04-20,339.3028,343.2114,336.511,336.8832,10853604.0
2022-04-21,327.5771,331.4857,319.2015,323.8546,25738562.0
2022-04-22,311.5705,319.2015,311.0121,316.968,28031299.0
2022-04-25,309.1509,315.1068,302.6365,304.6839,25788422.0
2022-04-26,309.1509,317.8987,307.6619,312.5011,27288328.0
2022-04-27,308.9647,315.1068,305.4284,311.5705,23408627.0
2022-04-28,316.968,316.968,308.2202,316.2235,21233188.0
2022-04-29,315.479,361.0793,313.9901,351.2147,47467097.0
2022-05-03,352.7037,358.1013,340.0473,353.6343,25571291.0
2022-05-04,348.4229,349.7257,340.7918,342.8392,14101831.0
2022-05-05,349.7257,351.7731,340.9779,340.9779,21393922.0
2022-05-06,328.1354,330.7412,322.924,324.9713,22923262.0
2022-05-10,308.9647,321.435,307.1035,317.5264,28398736.0
2022-05-11,316.0374,336.8832,316.0374,326.0881,24348791.0
2022-05-12,319.0154,327.7632,318.0848,320.3183,20022898.0
2022-05-13,325.7158,332.4163,325.7158,329.8105,19487577.0
2022-05-16,335.022,337.2555,323.1101,325.7158,15558023.0
2022-05-17,329.8105,343.7698,329.8105,342.8392,30117051.0
2022-05-18,349.1674,349.1674,333.1608,340.2335,28343560.0
2022-05-19,318.2709,319.7599,310.826,318.0848,60149532.0
